taxonId,taxon
lophozia,Lophozia
lophozia_ventricosa,Lophozia ventricosa
lotus,Lotus
lotus_corniculatus,Lotus corniculatus
lotus_corniculatus_var__corniculatus,Lotus corniculatus var. corniculatus
lotus_pedunculatus,Lotus pedunculatus
luzula,Luzula
luzula_campestris,Luzula campestris
luzula_multiflora,Luzula multiflora
luzula_multiflora_subsp__congesta,Luzula multiflora subsp. congesta
luzula_multiflora_subsp__multiflora,Luzula multiflora subsp. multiflora
luzula_pilosa,Luzula pilosa
luzula_sylvatica,Luzula sylvatica
lycopodiella_inundata,Lycopodiella inundata
lycopodium_clavatum,Lycopodium clavatum
lycopus_europaeus,Lycopus europaeus
lysimachia_nemorum,Lysimachia nemorum
lysimachia_nummularia,Lysimachia nummularia
lysimachia_vulgaris,Lysimachia vulgaris
lythrum_portula,Lythrum portula
lythrum_salicaria,Lythrum salicaria
malus_sylvestris,Malus sylvestris
marchantia_polymorpha,Marchantia polymorpha
marchantia_quadrata,Marchantia quadrata
marchantiophyta,Marchantiophyta
marchantiopsida,Marchantiopsida
marsupella_emarginata,Marsupella emarginata
matricaria_chamomilla,Matricaria chamomilla
medicago_lupulina,Medicago lupulina
melampyrum_pratense,Melampyrum pratense
melampyrum_pratense_pratense_hians,Melampyrum pratense pratense hians
melica_uniflora,Melica uniflora
melilotus,Melilotus
melilotus_officinalis,Melilotus officinalis
mentha,Mentha
mentha_aquatica,Mentha aquatica
mentha_arvensis,Mentha arvensis
mentha_arvensis_x_aquatica___m__x_verticillata,Mentha arvensis x aquatica = M. x verticillata
menyanthes_trifoliata,Menyanthes trifoliata
mercurialis_perennis,Mercurialis perennis
metzgeria_furcata,Metzgeria furcata
milium_effusum,Milium effusum
minuartia_verna,Minuartia verna
mnium,Mnium
mnium_hornum,Mnium hornum
mnium_marginatum,Mnium marginatum
mnium_stellare,Mnium stellare
moehringia_trinervia,Moehringia trinervia
molinia_caerulea,Molinia caerulea
molinia_caerulea_subsp__caerulea,Molinia caerulea subsp. caerulea
mycelis_muralis,Mycelis muralis
mylia_anomala,Mylia anomala
